"pad_size","position","track_no","layer_thickness_um","measurement_type","sim_value","exp_mean_value","exp_std_dev"
"5x5","middle","3","160","bead_height","75.36231884","50.0","20.7"
"5x5","middle","4","0","bead_height","0","0.6","1.0"
"5x5","middle","4","80","bead_height","24.48","9.8","4.1"
"5x5","middle","4","160","bead_height","76.8115942","37.8","7.3"
"5x5","middle","5","0","bead_height","1.3","-0.1","0.5"
"5x5","middle","5","80","bead_height","27.1","10.7","3.8"
"5x5","middle","5","160","bead_height","62.31884058","38.5","2.3"
"5x5","middle","6","0","bead_height","-1.3","0.5","0.9"
"5x5","middle","6","80","bead_height","26.94","9.5","3.6"
"5x5","middle","6","160","bead_height","68.11594203","34.4","3.2"
"5x5","middle","7","0","bead_height","-2.61","1.4","0.5"
"5x5","middle","7","80","bead_height","25.38","9.6","2.5"
"5x5","middle","7","160","bead_height","79.71014493","33.1","3.9"
"5x5","middle","8","0","bead_height","0","1.4","1.0"
"5x5","middle","8","80","bead_height","21.01","9.4","2.9"
"5x5","middle","8","160","bead_height","84.05797101","35.1","5.3"
"5x5","middle","9","0","bead_height","1.3","0.7","0.9"
"5x5","middle","9","80","bead_height","19.43","8.3","2.4"
"5x5","middle","9","160","bead_height","76.8115942","33.5","5.5"
"5x5","middle","10","0","bead_height","2.61","1.9","0.4"
"5x5","middle","10","80","bead_height","23.44","9.1","3.0"
"5x5","middle","10","160","bead_height","","31.7","2.2"
"5x5","middle","1","0","depth","110.87","128","0.2"
"5x5","middle","1","80","depth","134.85","124.8","4.7"
"5x5","middle","1","160","depth","97.1","115","5.3"
"5x5","middle","2","0","depth","123.91","143.6","1.2"
"5x5","middle","2","80","depth","154.66","139.6","2.9"
"5x5","middle","2","160","depth","120.29","127.9","9.5"
"5x5","middle","3","0","depth","131.74","151.2","2.2"
"5x5","middle","3","80","depth","154.82","150.5","1.7"
"5x5","middle","3","160","depth","136.23","139.3","4.7"
"5x5","middle","4","0","depth","131.74","157.9","1.4"
"5x5","middle","4","80","depth","170.42","157.8","1.2"
"5x5","middle","4","160","depth","131.88","139.5","5.4"
"5x5","middle","5","0","depth","136.96","161.4","2.5"
"5x5","middle","5","80","depth","177.6","155.1","4.2"
"5x5","middle","5","160","depth","137.68","152","0.6"
"5x5","middle","6","0","depth","142.17","166","1.3"
"5x5","middle","6","80","depth","176.37","161.8","2.2"
"5x5","middle","6","160","depth","134.78","154.1","6.1"
"5x5","middle","7","0","depth","143.48","168.8","3.4"
"5x5","middle","7","80","depth","184.96","164.2","3.2"
"5x5","middle","7","160","depth","136.23","151.1","4.2"
"5x5","middle","8","0","depth","139.57","171.1","3.8"
"5x5","middle","8","80","depth","193.53","164.8","6.2"
"5x5","middle","8","160","depth","153.62","160.3","5.9"
"5x5","middle","9","0","depth","155.22","175.1","3.2"
"5x5","middle","9","80","depth","202.12","166.4","1.7"
"5x5","middle","9","160","depth","146.38","158.5","1.6"
"5x5","middle","10","0","depth","163.04","179","2.4"
"5x5","middle","10","80","depth","198.08","167.8","3.7"
"5x5","middle","10","160","depth","","156.7","5.5"
"5x5","middle","1","0","overlap_depth","40.43478","67.5","3.2"
"5x5","middle","1","80","overlap_depth","49.41","63","10.5"
"5x5","middle","1","160","overlap_depth","4.35","49.6","5"
"5x5","middle","2","0","overlap_depth","48.26087","81.8","5.8"
"5x5","middle","2","80","overlap_depth","60.79","84.1","3.1"
"5x5","middle","2","160","overlap_depth","30.43","67.2","3.3"
"5x5","middle","3","0","overlap_depth","49.56522","94.2","2.3"
"5x5","middle","3","80","overlap_depth","96.01","93","3.9"
"5x5","middle","3","160","overlap_depth","47.83","84.7","3.1"
"5x5","middle","4","0","overlap_depth","63.91304","95.2","3.2"
"5x5","middle","4","80","overlap_depth","115.81","92.4","0.2"
"5x5","middle","4","160","overlap_depth","73.91","88","0.9"
"5x5","middle","5","0","overlap_depth","67.82609","104.7","2.6"
"5x5","middle","5","80","overlap_depth","120.19","99.1","0.8"
"5x5","middle","5","160","overlap_depth","76.81","96","6.3"
"5x5","middle","6","0","overlap_depth","67.82609","104.7","1.9"
"5x5","middle","6","80","overlap_depth","125.97","103.4","3.9"
"5x5","middle","6","160","overlap_depth","79.71","98.5","9.6"
"5x5","middle","7","0","overlap_depth","90","113.7","5.9"
"5x5","middle","7","80","overlap_depth","137.37","106.3","3.2"
"5x5","middle","7","160","overlap_depth","92.75","103.4","3.1"
"5x5","middle","8","0","overlap_depth","100.4348","115.6","6.2"
